Product Name,Price,Description
Thé vert Yunnan BIO en vrac,"40,00 € ht","Thé vert nature Thé vert China Yunnan Green*. *Issu de l‘agriculture biologique Ingrédients :Dosage : 12 - 15 g/LTemps d'infusion : 1,5 - 3 MinTempérature d'infusion : 75 - 80°..."
"Thé vert cœur tendre (Fraise, canneberge) BIO en vrac","47,35 € ht","Arôme naturel : Fraise-canneberge Ingrédients : Thé vert China Sencha*, thé vert China Chun Mee*, thé blanc Pai Mu Tan*, thé vert Darjeeling OP*, arôme naturel (fraise, canneberge), thé vert..."
Thé noir/thé vert Gingembre-mangue BIO en vrac,"36,65 € ht","Thé noir/Arôme naturel : Saveur gingembre-mangue Ingrédients : Thé noir Assam*, -Inde du Sud*, thé vert China Gunpowder*, gingembre* (15%), arôme naturel (mangue), écorces d'orange* (4%), gingembre (gingembre, sucre de..."
"Thé vert (Mandarine, pamplemousse) BIO en vrac","33,70 € ht","Arôme naturel : Saveur mandarine-pamplemousse Ingrédients : Thé vert China Sencha*, écorces d'orange*, mélisse*, verveine entière*, arôme naturel de pamplemousse, Huile essentielle de mandarine* (2%), fleurs de souci*, mandarine* (2%),..."
Thé Oolong  (Pêche - vanille) BIO en vrac,"45,05 € ht","Saveur Pêche - Vanille Ingrédients : China Oolong*, thé vert China Sencha*, gingembre (gingembre, sucre de canne brut)*, gingembre*, arôme naturel de pêche, pêche* (3%), extrait de vanille*, fleurs de..."
Thé vert China white monkey BIO en vrac,"67,30 € ht",Thé vert nature De jeunes feuilles de thé et des bourgeons donnent à ce thé un caratère exceptionnel. Issu de l‘agriculture bi- ologique. Ingrédients : 100 % thé vert nature...
"Thé vert jardin secret (Mangue, orange) BIO en vrac","36,85 € ht","Arôme naturel : Mangue-orange Ingrédients : Saveur mangue - orange Ingrédients: Thé vert China Sencha*, thé vert China Sencha extra*, morceaux de mangue* (8%), écorces d'orange* (8%), feuilles d'olivier*, arôme..."
Thé vert Rose des bois (Rose - Fraise) BIO en vrac,"33,70 € ht","Saveur : Rose - Fraise Ingrédients : Thé vert de Chine Sencha*, thé vert China Gunpowder*, arôme naturel ( fraise - rose ), pétales de rose*, fraise*. *Issu de l'agriculture..."
Thé vert lovely lemon (citron) BIO en vrac,"41,60 € ht","Saveur : Citron Ingrédients : Citronnelle* (30%), thé blanc Pai Mu Tan*, thé vert China Chun Mee*, mélisse*, racine de réglisse*, verveine*, fleurs de tilleul*, verveine entière*, gingembre (gingembre, sucre de..."
Ice Matcha (crème) en vrac,"24,10 € ht20,50 € ht","Arôme naturel : Thé vert matcha Saveur : Crème Ingrédients : Pomme, datte (datte, farine de riz), thé vert China Sencha, Sarrasin grillé, coco (coco, graisse de coco, sucre), AMANDE,..."
