Product Name,Price,Description
BARDANE racine poudre bio,"34,40 € ht",Ingrédients : BARDANE racine bio. ORIGINE : Pologne/Bulgarie Désignation latine : Arctium lappa L. Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement européen de l'agriculture...
BAIE ROSE entière - grade extra bio,"87,45 € ht",Ingrédients : BAIE ROSE entière - grade extra bio. PLUS D'INFO : La baie rose grade extra est triée une seconde fois à la main pour ne garder que les...
AUBÉPINE sommité fleurie coupée BIO - Origine FRANCE,"39,10 € ht",Ingrédients : AUBÉPINE sommité fleurie coupée bio. ORIGINE : FRANCE Désignation latine : Crataegus monogyna Jacq. Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement européen de...
AUBÉPINE fruit bio,"17,70 € ht",Ingrédients : AUBÉPINE fruit bio. ORIGINE : Bulgarie Désignation latine : Crataegus monogyna Jacq. Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement européen de l'agriculture...
ASTRAGALE racine bio,"71,20 € ht",Ingrédients : ASTRAGALE racine bio ORIGINE : Chine Désignation latine : Astragalus membranaceus Moench. Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement européen de l'agriculture biologique.Agriculture...
ASPÉRULE ODORANTE partie aérienne coupée bio,"82,80 € ht",Ingrédients : ASPÉRULE ODORANTE partie aérienne coupée bio. ORIGINE : Pologne Désignation latine : Galium odoratum (L.) Scop. Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement...
ASHWAGANDHA racine poudre bio,"44,25 € ht",Ingrédients : ASHWAGANDHA racine poudre bio. ORIGINE : Inde Désignation latine : Withania somnifera (L.) Dunal. Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement européen...
ASHWAGANDHA racine coupée bio,"40,10 € ht",Ingrédients : ASHWAGANDHA racine coupée bio . ORIGINE : Inde Désignation latine : Withania somnifera (L.) Dunal. Attestation : Bio : Produit issu de l'agriculture biologique FR-BIO-01 Certification selon le...
ARTICHAUT feuille poudre BIO - Origine FRANCE,"37,95 € ht",Ingrédients : ARTICHAUT feuille poudre bio. ORIGINE : FRANCE Désignation latine : Cynara cardunculus ssp. flav W Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement européen...
ARMOISE commune feuille/tige bio,"16,50 € ht",Ingrédients : ARMOISE commune feuille/tige bio. ORIGINE : Hongrie Désignation latine : Artemisia vulgaris L. Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement européen de...
